e,link,name,shortname,slides,descriptionText,descriptionLength,descriptionSource,descriptionLink,descriptionRelevance,bizwindowTitle,bizwindowImage,bizwindowAlt,bizwindowReference,bizwindowLink
1,banff-national-park,Banff National Park,Banff,9,"Banff National Park is Canada's first national park, and gave birth to the National Park system. At 6,641 square kilometres it is also one of the largest in Canada, if not the world. The park sees visits well into the millions annually. This area was inhabited by the Stony Indians thousands of years before the white man arrived. Anthony Henday was the first non-native to see the Canadian Rockies in 1754. The park itself was first 'discovered' by the workers building the transcontinental railway in 1882. At first the park was centered around the Cave and Basin Hot Springs, and was officially born in 1885. The first Banff Springs Hotel was built a mere three years later, the current incarnation was built in 1928. The first highway through the park was completed in 1923. The park boundaries as they are today were drawn up in 1930, as part of the National Parks Act passed by Canadian Parliament.",904,Wikivoyage,https://en.wikivoyage.org/wiki/Banff_National_Park,,,banff-national-park-2,Wild Eastern Slopes Grizzly bear taking a rest in a mountain forest in summer Banff National Park Alberta Canada,Wikivoyage,https://en.wikivoyage.org/wiki/Banff_National_Park
2,fiordland-national-park,Fiordland National Park,Fiordland,9,"Fiordland National Park, covering over 1.2 million hectares, is New Zealand's largest national park and one of the largest in the world. The park, together with the adjoining Mount Aspiring National Park, occupies the south west corner of the South Island and is listed as a UNESCO World Heritage site. The park was one of the film set for the Lord of the Rings film trilogy. Fiordland, as the name suggests, is home to several fiords — steep-sided inlets carved by glaciers during the last ice age, then later drowned by the rising sea. Its rugged landscape remains one of the least explored areas of New Zealand. Although the park has about 500 km of formed walking tracks, these are mostly confined to eastern and northern parts of the park.",744,Wikivoyage,https://en.wikivoyage.org/wiki/Fiordland_National_Park,,,fiordland-national-park-7,Clear and dark night Sky in Fiordland National Park at Gunns Camp,Wikivoyage,https://en.wikivoyage.org/wiki/Fiordland_National_Park
3,torres-del-paine-national-park,Torres del Paine National Park,Torres del Paine,9,"Torres del Paine is a national park in Chilean Patagonia. It is located in the southern tiers of the Andes and features mountains, lakes, and glaciers. The Torres del Paine (Spanish for ""Towers of Paine"" and ""Paine"" is an old indigenous word for the color blue), three immense rock towers, give the park its name. Other attractions include the Cuernos del Paine (Spanish for ""Horns of Paine"" -- horn-like mountain tops), Grey Glacier, Lago Grey, Lago Pehoé, Lago Nordenskjöld, and Lago Sarmiento.",496,Wikivoyage,https://en.wikivoyage.org/wiki/Torres_del_Paine_National_Park,,,torres-del-paine-national-park-2,"Backpacker cross a suspension bridge during a beautiful day in Torres del Paine National Park, Chile",Wikivoyage,https://en.wikivoyage.org/wiki/Torres_del_Paine_National_Park
4,yosemite-national-park,Yosemite National Park,Yosemite,9,"Yosemite National Park is a United States National Park and a UNESCO World Heritage Site that is located in the Sierra Nevada mountains in east-central California. Yosemite is best known for its impressive granite cliffs and domes. These formations were born approximately ten million years ago when the Sierra fault began uplifting the Sierra Nevada mountains, forming relatively gentle western slopes and more extreme eastern slopes. Erosion, combined with at least four glacial periods, exposed the underlying granite and resulted in many of the cracked, rounded, and weathered formations that make the park famous. Streams cut deep, narrow valleys, while glaciers covered the area in up to 4,000 feet of ice and generated wide, U-shaped valleys. Approximately four million visitors each year come to Yosemite to marvel at its spectacular granite cliffs, towering waterfalls, remote wilderness, massive sequoia trees, and high mountain meadows.",947,Wikivoyage,https://en.wikivoyage.org/wiki/Yosemite_National_Park,,,yosemite-national-park-9,"Afternoon view of the famous historical Ahwahnee hotel in Yosemite National Park, California",Wikivoyage,https://en.wikivoyage.org/wiki/Yosemite_National_Park
5,galapagos-national-park,Galapagos National Park,Galapagos,9,"The Galápagos archipelago is world-renowned for its unique and fearless wildlife, much of which was inspiration for Charles Darwin's theory of natural selection. The islands are therefore very popular amongst natural historians, both professional and amateur. Giant tortoises, sea lions, penguins, marine iguanas and different bird species can all be seen and approached. The landscape of the islands is relatively barren and volcanic, but beautiful nonetheless. The highest mountain amongst the islands is Volcán Wolf on Isla Isabela, 1,707 metres (5,600 ft) high.",565,Wikivoyage,https://en.wikivoyage.org/wiki/Galapagos_Islands,,,galapagos-national-park-8,Sea lion swimming underwater in tidal lagoon in the Galapagos Islands,Wikivoyage,https://en.wikivoyage.org/wiki/Galapagos_Islands
6,kruger-national-park,Kruger National Park,Kruger,12,"The Kruger National Park (KNP) lies in the north-east of South Africa and runs along the border of Mozambique in the east, Zimbabwe in the north, and the southern border is the Crocodile River. The park covers 20,000 km² and is divided in 14 different ecozones, each supporting different wildlife. It is one of the main attractions of South Africa and it is considered the flagship of South African National Parks (SANParks).",425,Wikivoyage,https://en.wikivoyage.org/wiki/Kruger_National_Park,,,kruger-national-park-4,Baby Hyena Kruger National Park,Wikivoyage,https://en.wikivoyage.org/wiki/Kruger_National_Park
7,plitvice-lakes-national-park,Plitvice Lakes National Park,Plitvice Lakes,5,"Nacionalni park Plitvička jezera (The Plitvice Lakes National Park) in Croatia is considered to be one of the most beautiful natural sights in Europe. Due to its beauty and significance, this system of 16 interlinked lakes and a large forest complex around it were set aside as a national park in 1949. In 1979 the park was inscribed on the WV-Unesco-icon-small.svg UNESCO World Heritage site List.",398,Wikivoyage,https://en.wikivoyage.org/wiki/Plitvice_Lakes_National_Park,,,plitvice-lakes-national-park-5,"Young couple on a boat at Plitvice Lakes, Croatia.",Wikivoyage,https://en.wikivoyage.org/wiki/Plitvice_Lakes_National_Park
8,serengeti-national-park,Serengeti National Park,Serengeti,9,"The park is but one of several conservation areas within the Serengeti region of East Africa, though a vital one. As well as conserving fauna, flora and iconic landscapes, Serengeti National Park has emerged as a major tourist destination. People from all over come here to engage in safari. The name Serengeti comes from the Maasai language, meaning 'endless plains' while the word safari is the Swahili word for 'journey'. Serengeti National Park is most famous for its animal migration. Nearly one million wildebeest and 200,000 zebras move from the northern hills to the south every October and November during the short rains. They then move toward the west and north from April to June when the long rains progress. The instinct to migrate is strong. Hence, no drought, gorge, or river infested with crocodiles can prove to be a deterrent.",845,Wikivoyage,https://en.wikivoyage.org/wiki/Serengeti_National_Park,,,serengeti-national-park-6,"A wild cheetah about to attack, hunt, sitting on a dead tree. Safari in Serengeti, Tanzania, Africa",Wikivoyage,https://en.wikivoyage.org/wiki/Serengeti_National_Park
9,grand-canyon-national-park,Grand Canyon National Park,Grand Canyon,5,"Throughout the past century, hundreds of authors have attempted to depict the enormous landscape that is Grand Canyon. Not surprisingly, words most often fail to invoke the sense of awe and wonder that many visitors experience. Edward Abbey, a noted Southwest author, once penned: ""Those who love it call it the canyon. The canyon. As if there were no other topographic feature on the face of the Earth"". There are, of course, other canyons on the planet. Some are longer, others wider, and even some that are deeper. Canyon visitors are often surprised to learn that Grand Canyon sets no records for sheer size. It is, however, simply regarded by most as the ""grandest"" canyon of them all.",690,Wikivoyage,https://en.wikivoyage.org/wiki/Grand_Canyon,,,grand-canyon-national-park-4,Rafting the colorado river,Wikivoyage,https://en.wikivoyage.org/wiki/Grand_Canyon
10,kakadu-national-park,Kakadu National Park,Kakadu,5,"The name 'Kakadu' comes from an aboriginal floodplain language called Gagudju which was one of the languages spoken in the north of the park at the beginning of the 20th century. Gagudju is no longer regularly spoken but descendants of this language group are still living in Kakadu. Kakadu National Park and Arnhem Land comprise more than 110,000 km² in the north-east corner of the Northern Territory. The landscapes of are diverse and set the scene for outback adventure travel, aboriginal culture and nature activities. Kakadu National Park is the largest national park in Australia. It contains one of the highest concentrated areas of aboriginal rock art sites in the world; the most famous examples are at Nourlangie Rock and Ubirr.",739,Wikivoyage,https://en.wikivoyage.org/wiki/Kakadu_National_Park,,,kakadu-national-park-4,"Nourlangie Rock Aboriginal art sites, Kakadu National Park, Northern Territory, Australia",Wikivoyage,https://en.wikivoyage.org/wiki/Kakadu_National_Park
11,yellowstone-national-park,Yellowstone National Park,Yellowstone,16,"Long before any recorded human history in Yellowstone, a massive volcanic eruption spewed an immense volume of ash that covered all of the western U.S., much of the Midwest, northern Mexico and some areas of the eastern Pacific Coast. The eruption may have been as much as one thousand times more powerful than the 1980 eruption of Mt. St. Helens, and it left a caldera approximately 34 by 45 miles (55 by 72 km). The Yellowstone super volcano is believed to erupt every 600,000 to 900,000 years with the last event occurring 640,000 years ago. Its eruptions are among the largest known to have ever occurred on Earth, producing drastic climate change in the aftermath. Although it is commonly assumed that the park was named for the yellow rocks seen in the Grand Canyon of the Yellowstone, the park's name comes from the Yellowstone River that flows through it, which is in turn named after sandstone bluffs found farther down its course in eastern Montana.",959,Wikivoyage,https://en.wikivoyage.org/wiki/Yellowstone_National_Park,,,yellowstone-national-park-11,"Camping near west yellowstone montana, USA",Wikivoyage,https://en.wikivoyage.org/wiki/Yellowstone_National_Park
12,arches-national-park,Arches National Park,Arches,8,"Arches National Park preserves over 2,000 natural sandstone arches. This area contains the largest concentration of arches found anywhere in the world, including the world-famous Delicate Arch as seen on the Utah state license plate, in addition to a variety of unique geological resources and formations. In some areas, faulting has exposed millions of years of geologic history.The extraordinary features of the park, including balanced rocks, fins and pinnacles, are highlighted by a striking environment of contrasting colors, landforms and textures. Throughout the park, rock layers reveal millions of years of deposition, erosion and other geologic events. These layers continue to shape life in Arches today, as their erosion influences elemental features like soil chemistry and where water flows when it rains. Arches is in a ""high desert,"" with elevations ranging from 4,085 ft (1,245 m) to 5,653 ft (1,723 m) above sea level.",936,Wikivoyage,https://en.wikivoyage.org/wiki/Arches_National_Park,,,arches-national-park-6,Three small tents in a desert landscape with a dramatic pink and blue thunderstorm sky and arches national park in background,Wikivoyage,https://en.wikivoyage.org/wiki/Arches_National_Park
13,canaima-national-park,Canaima National Park,Canaima,2,"Canaima National Park is the gateway to Angel Falls. Although other waterfalls and lagoons can be visited from Canaima camp, the main reason tourists fly here is for the three-day, two-night trips to the base of Angel Falls. There is an incredible variety of tropical wildlife in the area, including monkeys, poison arrow frogs and hundreds of species of orchids. Mammals in the area are generally difficult to spot but include giant anteaters, armadillos, porcupines, three-toed sloths, otters, jaguars, pumas, tapirs and capybaras.Some of the birds that you can see are king vulture, paradise tanager, white bellbird, cock of the rock, musician wren, great kiskadee, bananaquit, velvet browned brilliant, capunchinbird, sooty-capped hermit, blue-cheeked parrot and others.",774,Wikivoyage,https://en.wikivoyage.org/wiki/Canaima_National_Park,,,canaima-national-park-2,"View from the plateau Roraima to Gran Sabana region - Venezuela, South America",Wikivoyage,https://en.wikivoyage.org/wiki/Canaima_National_Park
14,great-barrier-reef-marine-park,Great Barrier Reef,Great Barrier Reef,8,"The Great Barrier Reef is a coral formation, the largest in the world, located off the Pacific coast of Queensland, Australia. This UNESCO World Heritage site is home to a spectacular array of marine life and offers awesome diving opportunities. There are many islands scattered off the Queensland Coast in several different island groups. Many cater for day trips, overnight stays, or both, offering widely varying standards of facilities accommodation. Not all islands off the coast are on the reef. Some are continental islands, some coral cays. Some of the continental islands have coral gardens off the beach, others do not. Some islands are teeming with marine life, and others have little. Check the specific destination guides, to see if the island you are thinking of visiting is a snorkeller's paradise, or just a nice place to pull up a deckchair and relax.",868,Wikivoyage,https://en.wikivoyage.org/wiki/Great_Barrier_Reef,,,great-barrier-reef-marine-park-5,Peaceful image of a mosaic jellyfish,Wikivoyage,https://en.wikivoyage.org/wiki/Great_Barrier_Reef
15,jiuzhaigou-valley-national-park,Jiuzhaigou Valley National Park,Jiuzhaigou Valley,3,"Jiuzhaigou (九寨沟 Jiǔzhàigōu) is a nature reserve in the north of Sichuan province in south western China. It is officially known as Jiuzhai Valley in English. It is known as the habitat of giant pandas and for its many multi-level waterfalls and colorful lakes. It was declared a UNESCO World Heritage Site in 1992. It belongs to the category V (Protected Landscape) in the IUCN system of protected area categorization. Jiuzhai Valley (Jiuzhaigou) is a major feature of the Sichuan Scenic Area, located 350 km north of Chengdu, the capital of Sichuan province. Jiuzhaigou is at the northeastern end of this scenic area in the Min Shan mountains. It is part of the Aba Tibetan and Qiang Autonomous Prefecture. ",708,Wikivoyage,https://en.wikivoyage.org/wiki/Jiuzhaigou_Nature_Reserve,,,jiuzhaigou-valley-national-park-2,Jiuzhaigou National Park,Wikivoyage,https://en.wikivoyage.org/wiki/Jiuzhaigou_Nature_Reserve
16,krka-national-park,Krka National Park,Krka National Park,4,"The Krka National Park belongs to the Southern European (Mediterranean and sub-Mediterranean) region. Due to its special position and the mosaic distribution of various types of habitats, it is characterized by exceptionally rich and varied flora and fauna. 860 species and subspecies of plants have been identified within the Krka National Park, including several endemic Illyrian-Adriatic species. Eighteen species of fish inhabit the Krka River, among which ten are endemic, making the Krka a natural landmark of the highest category. Brown trout and Dalmatian Barbelgudgeon are a couple of fish that can be found in the ecosystem. Patches of reeds, lakes formed along part of the river and swamped meadows abound in amphibians and birds, while thickets and stone quarries are home to reptiles.",797,Wikivoyage,https://en.wikivoyage.org/wiki/Krka_National_Park,,,krka-national-park-4,"Landscape of Krka national park in Croatia, a boy and a girl are sun tanning and swim in the lake",Wikivoyage,https://en.wikivoyage.org/wiki/Krka_National_Park
17,lake-district-national-park,Lake District National Park,Lake District,5,"The Lake District National Park, in North West England is the largest national park in the country, occupying 885 sq mi (2,290 km2). It is considered one of England's most scenic regions and is the country's premier destination for hiking and climbing. The park lies entirely within the modern county of Cumbria, shared historically by the counties of Cumberland, Westmorland and Lancashire. The Lake District comprises 16 lakes, 53 tarns, and several “waters”. All possess their own unique features and provide a comforting sense of permanence, standing as they do, framed by glorious backdrops of mountains, fells, and woodland. Despite the name the ""Lake District"" there is only one body of water that carries the name ""lake"" - Bassenthwaite; all the rest are ""waters"" and ""meres"".",784,Wikivoyage,https://en.wikivoyage.org/wiki/Lake_District_National_Park,,,lake-district-national-park-5,Walker on Pillar mountain in the English Lake District. Mountains in the background include Great Gable and the Scafell Range,Wikivoyage,https://en.wikivoyage.org/wiki/Lake_District_National_Park
18,namib-naukluft-national-park,Namib-Naukluft National Park,Namib-Naukluft,4,Namib-Naukluft National Park spans a large area along the coast of southern and central Namibia. It is listed as a UNESCO World Heritage Site. The Namib-Naukluft is one of the oldest protected areas in Namibia having been established in 1907. The park today covers a huge area of nearly 50 000 square kilometers.,312,Wikivoyage,https://en.wikivoyage.org/wiki/Namib-Naukluft_National_Park,,,namib-naukluft-national-park-2,"Coast of the Atlantica Ocean at the Namib-Naukluft National Park, Namibia",Wikivoyage,https://en.wikivoyage.org/wiki/Namib-Naukluft_National_Park
19,sagarmatha-national-park,Sagarmatha National Park,Sagarmatha,7,"Famous for its spectacular mountain peaks and the loyalty and friendliness of its inhabitants (the Sherpas), the Everest region (Khumbu) is one of the most popular destinations for tourists in Nepal. While many of the routes through the mountains are arduous, there are ample places to rest and enjoy a meal along the way. Don't worry about getting lost: just ask a local the way to the next village on your route, and they will direct you. Most Sherpas under the age of fifty can at least understand basic English, and many speak it fluently.",543,Wikivoyage,https://en.wikivoyage.org/wiki/Khumbu,,,sagarmatha-national-park-2,"Mules with heavy baggage crossing the suspention bridge on the Everest Base Camp Trek, Himalaya mountains, Sagarmatha National Park, Nepal",Wikivoyage,https://en.wikivoyage.org/wiki/Khumbu
20,swiss-national-park,Swiss National Park,Swiss National Park,2,"Swiss National Park is the only national park in Graubünden canton of Switzerland. It is one of the oldest national parks in Europe. It is one of 18 nature parks in Switzerland, but the only national park. With an area of 174.2 km² it is the largest protected area of the country. In the park, it's not allowed to leave marked paths, light a fire or sleep outside the Chamanna Cluozza hut. It is also forbidden to disturb animals or plants, or to take home anything found in the park. Dogs are not allowed, even on a leash. Due to these strict rules, the park is the only one in the Alps which has been categorized by the IUCN as a strict nature reserve, the highest protection level.",684,Wikivoyage,https://en.wikivoyage.org/wiki/Swiss_National_Park,,,swiss-national-park-2,Valley with mountain lake in swiss national park,Wikivoyage,https://en.wikivoyage.org/wiki/Swiss_National_Park
21,arenal-volcano-national-park,Arenal Volcano National Park,Arenal Volcano,8,"In October 2010, the volcano ceased its activity and the famous flowing lava has been gone since. Seeing some smoke during the day is possible, however, do not expect to see lava/eruptions in the night, regardless of clouds. This could change at any time. Tours to the National Park usually start out in the early afternoon and include walking for about an hour through lava rocks before reaching El Mirador, the best place to view the eruption of the volcano. There are also possibilities of skipping the lava rock walking and go straight to El Mirador. Most tours state that they will stay for 1-1½ hours at this place, but if there is nothing to be seen, probably a lot less. It might be chilly, so bring a jacket. The tours come in a variety of options: with buffet dinner and entrance to the Tabacon hot spa US$64, with entrance to Baldi hot spa $30, just the tour $25. There is also a possibility of a no-frills tour by mini-bus to El Mirador and back to Fortuna for $10.",977,Wikivoyage,https://en.wikivoyage.org/wiki/La_Fortuna,,,arenal-national-park-7,Young woman hiker relaxing on the hard and rocky lava trail with volcano on the horizon,Wikivoyage,https://en.wikivoyage.org/wiki/La_Fortuna
22,bryce-canyon-national-park,Bryce Canyon National Park,Bryce Canyon,5,"Bryce Canyon consists of a series of horseshoe-shaped amphitheaters carved from the eastern edge of the Paunsaugunt Plateau in southern Utah. The erosional force of frost-wedging and the dissolving power of rainwater have shaped the colorful limestone rock of the Claron Formation into bizarre shapes including slot canyons, windows, fins, and spires called ""hoodoos."" The varied colors of the rocks and rock formations contribute to the spectacular views.",456,Wikivoyage,https://en.wikivoyage.org/wiki/Bryce_Canyon_National_Park,,,bryce-national-park-5,"Natural bridge rock formation in Bryce Canyon National Park, Utah, USA",Wikivoyage,https://en.wikivoyage.org/wiki/Bryce_Canyon_National_Park
