e,name,sum,t1,t2,t3,t4,t5,t6,t7
1,Banff National Park,2,1,0,0,0,1,0,0
2,Fiordland National Park,2,1,0,0,0,1,0,0
3,Torres del Paine National Park,2,1,0,0,0,1,0,0
4,Yosemite National Park,2,1,0,0,0,1,0,0
5,Galapagos National Park,2,1,0,0,0,1,0,0
6,Kruger National Park,2,1,0,0,0,1,0,0
7,Plitvice Lakes National Park,2,1,0,0,0,1,0,0
8,Serengeti National Park,2,1,0,0,0,1,0,0
9,Grand Canyon National Park,2,1,0,0,0,1,0,0
10,Kakadu National Park,2,1,0,0,0,1,0,0
11,Yellowstone National Park,2,1,0,0,0,1,0,0
12,Arches National Park,2,1,0,0,0,1,0,0
13,Canaima National Park,2,1,0,0,0,1,0,0
14,Great Barrier Reef Marine Park,2,1,0,0,0,1,0,0
15,Jiuzhaigou Valley National Park,2,1,0,0,0,1,0,0
16,Krka National Park,2,1,0,0,0,1,0,0
17,Lake District National Park,2,1,0,0,0,1,0,0
18,Namib-Naukluft National Park,2,1,0,0,0,1,0,0
19,Sagarmatha National Park,2,1,0,0,0,1,0,0
20,Swiss National Park,2,1,0,0,0,1,0,0
21,Arenal Volcano National Park,2,1,0,0,0,1,0,0
22,Bryce Canyon National Park,2,1,0,0,0,1,0,0
23,Fuji-Hakone-Izu National Park,2,1,0,0,0,1,0,0
24,Göreme National Park,2,1,0,0,0,1,0,0
25,Iguazu National Park,2,1,0,0,0,1,0,0
26,Jasper National Park,2,1,0,0,0,1,0,0
27,Jostedalsbreen National Park,2,1,0,0,0,1,0,0
28,Kilimanjaro National Park,2,1,0,0,0,1,0,0
29,Komodo National Park,2,1,0,0,0,1,0,0
30,Los Glaciares National Park,2,1,0,0,0,1,0,0
31,Manuel Antonio National Park,2,1,0,0,0,1,0,0
32,Mungo National Park,2,1,0,0,0,1,0,0
33,Olympic National Park,2,1,0,0,0,1,0,0
34,Phong Nha-Ke Bang National park,2,1,0,0,0,1,0,0
35,Saxon Switzerland National Park,2,1,0,0,0,1,0,0
36,Tayrona National Park,2,1,0,0,0,1,0,0
37,Tikal National Park,2,1,0,0,0,1,0,0
38,Tulum National Park,2,1,0,0,0,1,0,0
39,Ahaggar National Park,2,1,0,0,0,1,0,0
40,Bwindi Impenetrable National Park,2,1,0,0,0,1,0,0
41,Capitol Reef National Park,2,1,0,0,0,1,0,0
42,Chapada dos Veadeiros National Park,2,1,0,0,0,1,0,0
43,Chitwan National Park,2,1,0,0,0,1,0,0
44,Corcovado National Park,2,1,0,0,0,1,0,0
45,Denali National Park,2,1,0,0,0,1,0,0
46,Devils Tower National Monument,2,1,0,0,0,1,0,0
47,Doi Inthanon National Park,2,1,0,0,0,1,0,0
48,Everglades National Park,2,1,0,0,0,1,0,0
49,Glacier Bay National Park,2,1,0,0,0,1,0,0
50,Grand Teton National Park,2,1,0,0,0,1,0,0
51,Great Smoky Mountains National Park,2,1,0,0,0,1,0,0
52,Gunung Mulu National Park,2,1,0,0,0,1,0,0
53,Haleakala National Park,2,1,0,0,0,1,0,0
54,Hawai'i Volcanoes National Park,2,1,0,0,0,1,0,0
56,Jim Corbett National Park,2,1,0,0,0,1,0,0
57,Joshua Tree National Park,2,1,0,0,0,1,0,0
58,Kaziranga National Park,2,1,0,0,0,1,0,0
59,Khao Sok National Park,2,1,0,0,0,1,0,0
60,Kidepo Valley National Park,2,1,0,0,0,1,0,0
61,Loch Lomond and Trossachs National Park,2,1,0,0,0,1,0,0
62,Mercantour National Park,2,1,0,0,0,1,0,0
63,Monte Roraima National Park,2,1,0,0,0,1,0,0
64,Mount Rainier National Park,2,1,0,0,0,1,0,0
65,Nambung National Park,2,1,0,0,0,1,0,0
66,Nāpali Coast State Wilderness Park,2,1,0,0,0,1,0,0
67,Ngorongoro Conservation Area,2,1,0,0,0,1,0,0
68,Pantanal Matogrossense National Park,2,1,0,0,0,1,0,0
69,Rapa Nui National Park,2,1,0,0,0,1,0,0
70,Sarek National Park,2,1,0,0,0,1,0,0
71,Seoraksan National Park,2,1,0,0,0,1,0,0
72,Sequoia and Kings Canyon National Park,2,1,0,0,0,1,0,0
73,Sierra de La Macarena National Park,2,1,0,0,0,1,0,0
74,Snowdonia National Park,2,1,0,0,0,1,0,0
75,South Downs National Park,2,1,0,0,0,1,0,0
76,Stone Forest Scenic Area,2,1,0,0,0,1,0,0
77,Tassili n'Ajjer,2,1,0,0,0,1,0,0
78,Teide National Park,2,1,0,0,0,1,0,0
79,Tobago Cays Marine Park,2,1,0,0,0,1,0,0
80,Tongariro National Park,2,1,0,0,0,1,0,0
81,Toro Toro National Park,2,1,0,0,0,1,0,0
83,Virgin Islands National Park,2,1,0,0,0,1,0,0
84,Wrangell-St. Elias National Park & Preserve,2,1,0,0,0,1,0,0
85,Yala National Park,2,1,0,0,0,1,0,0
86,Zion National Park,2,1,0,0,0,1,0,0
87,Bohemian Switzerland,2,1,0,0,0,1,0,0
