e,name,label,reputation,type,feature,icon,x,y,zmin,zmax,zoom,hectares,geokey,link,geosource,hide,scalerank,name_en
1,Banff National Park,Banff,1000,national park,shape,park,-116.1242935,51.54396137,1,20,7.9,664100,Banff,banff-national-park,Protected Planet,,,Banff
2,Fiordland National Park,Fiordland,1000,national park,shape,park,167.2876033,-45.46377888,1,20,7.4,1257000,Fiordland,fiordland-national-park,Protected Planet,,,Fiordland
3,Torres del Paine National Park,Torres del Paine,1000,national park,shape,park,-73.09026406,-51.03295393,1,20,8.7,242242,Torres del Paine,torres-del-paine-national-park,Protected Planet,,,Torres del Paine
4,Yosemite National Park,Yosemite,946,national park,shape,park,-119.5647042,37.73964887,1,20,11.3,16723,Yosemite,yosemite-national-park,Protected Planet,,,Yosemite
5,Galapagos National Park,Galapagos,800,national park,shape,park,-91.187695,-0.865086681,1,20,7.7,799540,Galápagos,galapagos-national-park,Protected Planet,,,Galapagos
6,Kruger National Park,Kruger,846,national park,shape,park,31.1746175,-23.14947029,1,20,7.6,915052,Kruger,kruger-national-park,Protected Planet,,,Kruger
7,Plitvice Lakes National Park,Plitvice Lakes,724,national park,shape,park,15.58866381,44.85320192,1,20,10.7,29482,Plitvice Lakes National Park,plitvice-lakes-national-park,Protected Planet,,,Plitvice Lakes
8,Serengeti National Park,Serengeti,800,national park,shape,park,34.78405525,-2.335842724,1,20,7.2,1476300,Serengeti,serengeti-national-park,Protected Planet,,,Serengeti
9,Grand Canyon National Park,Grand Canyon,624,national park,shape,park,-112.1847009,36.18658495,1,20,8.1,489569,Grand Canyon,grand-canyon-national-park,Protected Planet,,,Grand Canyon
10,Kakadu National Park,Kakadu,624,national park,shape,park,132.7191535,-13.07350089,1,20,7.0,1980400,Kakadu,kakadu-national-park,Protected Planet,,,Kakadu
11,Yellowstone National Park,Yellowstone,800,national park,shape,park,-110.5473693,44.59639957,1,20,7.5,1009185,Yellowstone,yellowstone-national-park,Protected Planet,,,Yellowstone
12,Arches National Park,Arches,583,national park,shape,park,-109.5863123,38.72274603,1,20,10.6,32029,Arches,arches-national-park,Protected Planet,,,Arches
