d,name,sum,t1,t2,t3,t4,t5,t6,t7,t8
d1,hiking,1714,857,0,0,0,857,0,0,0
d2,wilderness,190,95,0,0,0,95,0,0,0
d3,wildlife,2748,1374,0,0,0,1374,0,0,0
d4,mountains,706,353,0,0,0,353,0,0,0
d5,kayaking,92,46,0,0,0,46,0,0,0
d6,canoeing,76,38,0,0,0,38,0,0,0
d7,animal tracking,10,5,0,0,0,5,0,0,0
d8,rafting,38,19,0,0,0,19,0,0,0
d9,boating,548,274,0,0,0,274,0,0,0
d10,horse riding,14,7,0,0,0,7,0,0,0
d11,hunting,72,36,0,0,0,36,0,0,0
d12,ice walking,4,2,0,0,0,2,0,0,0
d13,winter sports,70,35,0,0,0,35,0,0,0
d14,off-piste,6,3,0,0,0,3,0,0,0
d15,fishing,78,39,0,0,0,39,0,0,0
d16,ice climbing,2,1,0,0,0,1,0,0,0
d17,icebergs,8,4,0,0,0,4,0,0,0
d18,dogsledding,2,1,0,0,0,1,0,0,0
d19,ice fishing,0,0,0,0,0,0,0,0,0
d20,ice skating,2,1,0,0,0,1,0,0,0
d21,snowshoeing,6,3,0,0,0,3,0,0,0
d22,golf,32,16,0,0,0,16,0,0,0
d23,atv adventures,2,1,0,0,0,1,0,0,0
d24,lord of the rings,4,2,0,0,0,2,0,0,0
d25,unesco,176,88,0,0,0,88,0,0,0
d26,fiords,26,13,0,0,0,13,0,0,0
d27,glaciers,380,190,0,0,0,190,0,0,0
d28,lakes,20,10,0,0,0,10,0,0,0
d29,lions,52,26,0,0,0,26,0,0,0
d30,remoteness,66,33,0,0,0,33,0,0,0
d31,massive trees,8,4,0,0,0,4,0,0,0
d32,hills,230,115,0,0,0,115,0,0,0
d33,birds,770,385,0,0,0,385,0,0,0
d34,waterfalls,964,482,0,0,0,482,0,0,0
d35,rock climbing,26,13,0,0,0,13,0,0,0
d36,swimming,116,58,0,0,0,58,0,0,0
d37,art,30,15,0,0,0,15,0,0,0
d38,workshops,6,3,0,0,0,3,0,0,0
d39,islands,564,282,0,0,0,282,0,0,0
d40,charles darwin,6,3,0,0,0,3,0,0,0
d41,snorkeling,74,37,0,0,0,37,0,0,0
d42,scuba diving,36,18,0,0,0,18,0,0,0
d43,cycling,294,147,0,0,0,147,0,0,0
d44,volunteering,6,3,0,0,0,3,0,0,0
d45,conservation-based volunteering,2,1,0,0,0,1,0,0,0
d46,sharks,22,11,0,0,0,11,0,0,0
d47,the big five,804,402,0,0,0,402,0,0,0
d48,bush drives,6,3,0,0,0,3,0,0,0
d49,tigers,30,15,0,0,0,15,0,0,0
d50,big cats,304,152,0,0,0,152,0,0,0
d51,safaris,100,50,0,0,0,50,0,0,0
d52,flightseeing,4,2,0,0,0,2,0,0,0
d53,mule rides,2,1,0,0,0,1,0,0,0
d54,wetlands,38,19,0,0,0,19,0,0,0
d55,hot springs,48,24,0,0,0,24,0,0,0
d56,volcanos,176,88,0,0,0,88,0,0,0
d57,geysers,32,16,0,0,0,16,0,0,0
d58,plant life,482,241,0,0,0,241,0,0,0
d59,surreal experience,8,4,0,0,0,4,0,0,0
d60,being abandoned,20,10,0,0,0,10,0,0,0
d61,coral,290,145,0,0,0,145,0,0,0
d62,jungle,122,61,0,0,0,61,0,0,0
d63,sailing,32,16,0,0,0,16,0,0,0
d64,dunes,30,15,0,0,0,15,0,0,0
d65,steam locomotives,8,4,0,0,0,4,0,0,0
d66,beaches,280,140,0,0,0,140,0,0,0
d67,cliffs,106,53,0,0,0,53,0,0,0
d68,canyons,470,235,0,0,0,235,0,0,0
d69,coasts,252,126,0,0,0,126,0,0,0
d70,mountain biking,22,11,0,0,0,11,0,0,0
d71,ballooning,4,2,0,0,0,2,0,0,0
d72,wild rivers,2,1,0,0,0,1,0,0,0
d73,glacier walking,4,2,0,0,0,2,0,0,0
d74,mountaineering,36,18,0,0,0,18,0,0,0
d75,snowy peaks,4,2,0,0,0,2,0,0,0
d76,climbing,310,155,0,0,0,155,0,0,0
d77,dragons,44,22,0,0,0,22,0,0,0
d78,snakes,88,44,0,0,0,44,0,0,0
d79,spiders,6,3,0,0,0,3,0,0,0
d80,dolphins,10,5,0,0,0,5,0,0,0
d81,whales,22,11,0,0,0,11,0,0,0
d82,marine mammals,34,17,0,0,0,17,0,0,0
d83,diving,178,89,0,0,0,89,0,0,0
d84,sea kayaking,14,7,0,0,0,7,0,0,0
d85,pyramids,0,0,0,0,0,0,0,0,0
d86,archeologic sights,12,6,0,0,0,6,0,0,0
d87,ancient civilizations,10,5,0,0,0,5,0,0,0
d88,mayan civilization,18,9,0,0,0,9,0,0,0
d89,great apes,38,19,0,0,0,19,0,0,0
d90,karst,34,17,0,0,0,17,0,0,0
d91,caves,322,161,0,0,0,161,0,0,0
d92,turtles,38,19,0,0,0,19,0,0,0
d93,indigenous people,36,18,0,0,0,18,0,0,0
d94,craters,100,50,0,0,0,50,0,0,0
d95,dinosaurs,24,12,0,0,0,12,0,0,0
d96,rock carvings,2,1,0,0,0,1,0,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
